id,geologic_unit_gid,unit_link,strat_name_id,unit_id,addition,removal
313,,IDTpd;0,4763,,FALSE,TRUE
314,,MTpCAr?;0,4763,,FALSE,TRUE
315,,IDQpm2f;0,4763,,FALSE,TRUE
316,,WAJKs;0,4763,,FALSE,TRUE
317,,IDQpu3b;0,4763,,FALSE,TRUE
318,,MTKjr;0,4763,,FALSE,TRUE
319,,IDCmn;0,4763,,FALSE,TRUE
320,,MTpCAne;0,4763,,FALSE,TRUE
321,,MTpCAap;0,4763,,FALSE,TRUE
322,,WATc;0,4763,,FALSE,TRUE
323,,IDD;0,4763,,FALSE,TRUE
324,,MTpCAgs?;0,4763,,FALSE,TRUE
325,,WAOGMI;0,4763,,FALSE,TRUE
326,,MTKb;0,4763,,FALSE,TRUE
327,,IDS;0,4763,,FALSE,TRUE
328,,WAMIc;0,4763,,FALSE,TRUE
329,,IDOZm;0,4763,,FALSE,TRUE
330,,MTKf;0,4763,,FALSE,TRUE
331,,IDTRwvm;0,4763,,FALSE,TRUE
332,,MTTfu;0,4763,,FALSE,TRUE
333,,MTPu?;0,4763,,FALSE,TRUE
334,,MTKcl;0,4763,,FALSE,TRUE
335,,IDY3n;0,4763,,FALSE,TRUE
336,,IDQplf;0,4763,,FALSE,TRUE
337,,IDC;0,4763,,FALSE,TRUE
338,,IDTd;0,4763,,FALSE,TRUE
339,,MTTKl;0,4763,,FALSE,TRUE
340,,IDYib;0,4763,,FALSE,TRUE
341,,WAEO1;0,4763,,FALSE,TRUE
342,,MTPu;0,4763,,FALSE,TRUE
343,,IDYibm;0,4763,,FALSE,TRUE
344,,WAMI;0,4763,,FALSE,TRUE
345,,MTpCAgs;0,4763,,FALSE,TRUE
346,,IDQpa;0,4763,,FALSE,TRUE
347,,WACPv;0,4763,,FALSE,TRUE
348,,IDSO;0,4763,,FALSE,TRUE
349,,IDJl;0,4763,,FALSE,TRUE
350,,IDQpug;0,4763,,FALSE,TRUE
351,,IDTei;0,4763,,FALSE,TRUE
352,,WAEOc;0,4763,,FALSE,TRUE
353,,IDP;0,4763,,FALSE,TRUE
354,,IDQpmb;0,4763,,FALSE,TRUE
355,,IDQpw;0,4763,,FALSE,TRUE
356,,IDTm3b;0,4763,,FALSE,TRUE
357,,IDTRMwm;0,4763,,FALSE,TRUE
358,,WAQg2;0,4763,,FALSE,TRUE
359,,IDY1n;0,4763,,FALSE,TRUE
360,,IDJMwm;0,4763,,FALSE,TRUE
361,,IDZ2s;0,4763,,FALSE,TRUE
362,,IDToev;0,4763,,FALSE,TRUE
363,,MTpCAr;0,4763,,FALSE,TRUE
364,,MTKvi;0,4763,,FALSE,TRUE
365,,IDYian;0,4763,,FALSE,TRUE
366,,IDPwm;0,4763,,FALSE,TRUE
367,,IDQpub;0,4763,,FALSE,TRUE
368,,IDOYm;0,4763,,FALSE,TRUE
369,,MTJu;0,4763,,FALSE,TRUE
370,,IDQTb;0,4763,,FALSE,TRUE
371,,IDQw;0,4763,,FALSE,TRUE
372,,IDZXmh;0,4763,,FALSE,TRUE
373,,IDQTs;0,4763,,FALSE,TRUE
374,,MTTf;0,4763,,FALSE,TRUE
375,,IDQpu3f;0,4763,,FALSE,TRUE
376,,MTpCAc;0,4763,,FALSE,TRUE
377,,IDDOc;0,4763,,FALSE,TRUE
378,,IDTR;0,4763,,FALSE,TRUE
379,,IDPM;0,4763,,FALSE,TRUE
380,,MTKc;0,4763,,FALSE,TRUE
381,,WATi;0,4763,,FALSE,TRUE
382,,IDQpu4b;0,4763,,FALSE,TRUE
383,,IDQplg;0,4763,,FALSE,TRUE
384,,IDPNs;0,4763,,FALSE,TRUE
385,,WAKu;0,4763,,FALSE,TRUE
386,,IDKJii;0,4763,,FALSE,TRUE
387,,WAEOv1b;0,4763,,FALSE,TRUE
388,,MTKk;0,4763,,FALSE,TRUE
389,,WATKc;0,4763,,FALSE,TRUE
390,,WAEO2;0,4763,,FALSE,TRUE
391,,IDQTg;0,4763,,FALSE,TRUE
392,,MTpCApi;0,4763,,FALSE,TRUE
393,,IDPPNs;0,4763,,FALSE,TRUE
394,,WAMIPO;0,4763,,FALSE,TRUE
395,,IDY3nm;0,4763,,FALSE,TRUE
396,,IDOCc;0,4763,,FALSE,TRUE
397,,IDQpu2f;0,4763,,FALSE,TRUE
