CMA #,COG ID,NGMDB Product Link,Pixel Space COG Link,NGMDB ProdID,NGMDB ItemID,Process?,Results Ready?,Georeferenced Results Link,Pixel Space Results Link,Comments
2,53696169426d4069446d5d6d496d136d566c586d696d460d54911605661580c3,https://ngmdb.usgs.gov/Prodesc/proddesc_9485.htm,Download,9485,1368,,,,,
2,77694ba759de56db646b34fb18d909fb0dfb4dc909ab6ac34a496a4b8a498b2b,https://ngmdb.usgs.gov/Prodesc/proddesc_8976.htm,Download,8976,15218,,,,,
2,28e438e3796b5ce45a65126538673c67a695e45121555b155a55525512570703,https://ngmdb.usgs.gov/Prodesc/proddesc_9972.htm,Download,9972,1385,,,,,
2,c92a163516b56765578546656755275d275507551f9d4e1101e50bc78716849e,https://ngmdb.usgs.gov/Prodesc/proddesc_1708.htm,Download,1708,15171,,,,,
2,74c06bd85cca13ca53486b483b48364a0eca22cac648a498e9c98949a15ae6f0,https://ngmdb.usgs.gov/Prodesc/proddesc_1687.htm,Download,1687,1342,,,,,
2,6f00563536352625368536a536356635463616365636563599325d3745368ede,https://ngmdb.usgs.gov/Prodesc/proddesc_1709.htm,Download,1709,15172,,,,,
2,0211084f34cb21e323c31843203320f320cb09d30ef30ad749d544bf08e32001,https://ngmdb.usgs.gov/Prodesc/proddesc_2460.htm,Download,2460,25288,,,,,
2,5081092d0ccf0def036f0c4f08ef04ff0c3f09ff4eef4bef497f423f4add2001,https://ngmdb.usgs.gov/Prodesc/proddesc_2460.htm,Download,2460,25289,,,,,
2,5411496d04cf25a723e7094f092b08fb00ff09cf4eef0bef087f0bbf42dd2001,https://ngmdb.usgs.gov/Prodesc/proddesc_2460.htm,Download,2460,25290,,,,,
2,5081096d04ef21af03cf0e4f2e4b24bb296f4deb07e309e70a7b4bbf15ed2211,https://ngmdb.usgs.gov/Prodesc/proddesc_2460.htm,Download,2460,25291,,,,,
2,42d10c6d02fb08db03b720bf0cdb26cb235b098b04330c370e3d5c3d4a556851,https://ngmdb.usgs.gov/Prodesc/proddesc_2461.htm,Download,2461,25292,,,,,
2,79c10a5b021f081f018f009f0e2f014f034f0b8f0c274c3fcc3fda3fd0b36041,https://ngmdb.usgs.gov/Prodesc/proddesc_2461.htm,Download,2461,25293,,,,,
2,5d0102cb02cf098f03af00bf074f233f035f098f0a2f0c3b0c3f0a3f30e34441,https://ngmdb.usgs.gov/Prodesc/proddesc_2461.htm,Download,2461,25294,,,,,
2,3958399d50af37cb037b0e2d310f224b461f055c16dc249c378c1f0d112cf1c0,https://ngmdb.usgs.gov/Prodesc/proddesc_4653.htm,Download,4653,67458,,,,,
2,4959485b0947440f489f443f66134717453f6717469f4d8f459f6457cc799932,https://ngmdb.usgs.gov/Prodesc/proddesc_4653.htm,Download,4653,67459,,,,,
2,51b035b9379946996eb16cb55eb559b94db96db94db96eb14f3126394eb10d24,https://ngmdb.usgs.gov/Prodesc/proddesc_9374.htm,Download,9374,74441,yes,yes,Result Download,Result Download,
